『'25 東洋療法必携』
「56歳の男性。数日前から続く右肩甲部や右上腕外側の痛みと、右前腕橈側から右手橈側のしびれを主訴に来院した。」

11-41 最も陽性になりやすいのはどれか。
 1. ペインフルアークサイン
 2. スパーリングテスト
 3. トムゼンテスト
 4. ファレンテスト

11-42 装具療法を行う場合に最も適切なのはどれか。
 1. 頸椎装具
 2. 肩関節外転装具
 3. テニス肘バンド
 4. 手関節背屈装具

11-43 頚椎症について正しいのはどれか。
 1. 脊髄症型では一側の肩甲背部の疼痛が起こる。
 2. 神経根型では深部反射亢進が起こる。
 3. 関連痛型では手術療法が第１選択である。
 4. 保存療法では頚椎牽引が有効である。

11-44 頸椎椎間板ヘルニアについて正しいのはどれか。
 1. 神経根症では上肢に腱反射の亢進を認める。
 2. 神経根症では腹壁反射の消失を認める。
 3. 脊髄症では下肢に腱反射の減弱を認める。
 4. 脊髄症では下肢に病的反射を認める。

11-45 L5神経根障害の所見として誤っているのはどれか。
 1. 足背の知覚障害
 2. アキレス腱反射消失
 3. 足関節背屈筋力低下
 4. SLRテスト陽性

　次の文について下記2問に答えよ。
　「45歳の男性。長時間の座位により右下肢痛が生じるようになったため整形外科を受診し、腰椎椎間板ヘルニアと診断された。右の片脚立ちで踵の挙上ができなかった。」

11-46 感覚鈍麻が疑われる部位はどれか。 
 1. 足底
 2. 足背中央
 3. 下腿内側
 4. 大腿前面

11-47 早期に手術治療を要する病態はどれか。 
 1. 尿閉
 2. 下腿後面のしびれ
 3. 夜間のこむら返り
 4. アキレス腱反射消失

11-48 腰椎椎間板ヘルニアの診断を受けている患者が今朝から急に尿閉となった。速やかに行うべき治療法はどれか。
 1. ベッド上安静
 2. 副腎皮質ステロイドの投与
 3. 腰部硬膜外ブロック
 4. 椎間板切除術

11-49 頸椎後縦靱帯骨化症について正しいのはどれか。
 1. 欧米人に多い。
 2. 我が国では女性に多い。
 3. 難治性疾患に認定されている。
 4. アキレス腱反射は減弱する。

11-50 脊椎分離症で誤っているのはどれか。
 1. 上下関節突起間に起こる。
 2. 腰椎下部に好発する。
 3. 初期より神経根症状を示す。
 4. スポーツ選手に多い。

　次の文について下記２問に答えよ。
「45歳の男性。腰から殿部にかけての痛みを訴える。腰を反らせると痛みは増悪し、大腿部に放散する。前屈では痛みを生じない。神経学的異常所見はみられない。」

11-51 本疾患で最も考えられる病態はどれか。
 1. 椎間板髄核の脱出
 2. 脊柱管の狭窄
 3. 椎間関節の炎症
 4. 前縦靱帯の肥厚

11-52 本疾患で陽性を示す所見はどれか。
 1. 椎間関節に一致した圧痛
 2. ケンプ徴候
 3. ＳＬＲテスト
 4. パトリック徴候

　次の文について下記２問に答えよ。
「62歳の男性。右側の腰から下肢にかけての痛み、しびれがある。歩くと痛みは強くなり歩けなくなるが、休むと再び歩けるようになる。足関節・上腕血圧比は1.0であった。」

11-53 本症例の徒手検査所見で陽性を示すのはどれか。
 1. SLRテスト
 2. ケンプ徴候
 3. 大腿神経伸展テスト
 4. Ｋ・ボンネットテスト

11-54 歩行中に右下肢痛が起こったときの対応として、体幹の姿位で最も適切なのはどれか。
 1. 前屈
 2. 後屈
 3. 右側屈
 4. 左側屈

11-55 脊柱管狭窄を生じないのはどれか。
 1. 黄色靭帯の肥厚
 2. 椎間板の後方への膨隆
 3. 椎間関節の肥大
 4. 前縦靭帯の骨化

11-56 腰部脊柱管狭窄症の治療で最も適切なのはどれか。
 1. 膀胱直腸障害は観血的治療の適応である。
 2. 片側性の下肢痛は保存的治療では改善しにくい。
 3. 会陰部の異常感覚は保存的治療で改善しやすい。
 4. 手術は脊椎固定術を要することが多い。

11-57 脊椎疾患と所見の組合せで正しいのはどれか。
 1. 頸椎椎間板ヘルニア … 間欠跛行
 2. 頸椎後縦靭帯骨化症 … 膝蓋腱反射の減弱
 3. 腰椎椎間板ヘルニア … アキレス腱反射の亢進
 4. 腰部脊柱管狭窄症 … 会陰部のしびれ

11-58 骨折とその説明で誤っている記述はどれか。
 1. 疲労骨折は小さな外力が連続的に作用して起こる。
 2. 病的骨折は治癒が早期に起こる。
 3. 不完全骨折は骨の連続性が保たれている。
 4. 開放骨折は骨折部と外界との交通がある。

11-59 骨密度が保たれていても骨折を起こしやすいのはどれか。
 1. 糖尿病
 2. 高血圧症
 3. 脂質異常症
 4. 高尿酸血症

　次の文について下記2問に答えよ。
　「3歳の女児。滑り台から落ちて右手をつき、右肘過伸展を強いられ受傷。近医を受診、右肘部変形があり、肘部前面の皮下出血と示指・中指のしびれが認められた。」

11-60 最も考えられる診断はどれか。 
 1. 上腕骨外科頸骨折
 2. 上腕骨骨幹部骨折
 3. 上腕骨顆上骨折
 4. 上腕骨外顆骨折

11-61 最も考えられる障害神経はどれか。
 1. 腋窩神経
 2. 正中神経
 3. 筋皮神経
 4. 尺骨神経

11-62 小児の骨折について正しい記述はどれか。
 1. 不全骨折の比率が低い。
 2. 骨端線損傷は成長障害の原因にならない。
 3. 自家矯正能は旺盛である。
 4. 骨癒合が遅い。

11-63 上肢の骨折で偽関節になりやすい部位はどれか。
 1. 鎖骨骨幹部
 2. 上腕骨近位部
 3. 橈骨遠位部
 4. 舟状骨体部

11-64 高齢者の非外傷性骨折で多い部位はどれか。
 1. 上腕骨近位部
 2. 橈骨遠位部
 3. 胸腰椎移行部
 4. 大腿骨近位部

　次の文について下記２問に答えよ。
「82歳の女性。夜間にトイレで転倒し左大腿骨頸部を骨折した。人工骨頭置換術を受け、退院後に来院した。」

11-65 本患者への生活指導として誤っているのはどれか。
 1. トイレに手すりを設置する。
 2. ベッドを利用する。
 3. 畳に正座をする。
 4. 机につかまり交互に片足立ちをする。

11-66 本患者が骨粗鬆症治療を受けなかった場合に起こりやすいのはどれか。
 1. 脊椎圧迫骨折
 2. 橈骨頭骨折
 3. 上腕骨骨幹部骨折
 4. 大腿骨骨幹部骨折

11-67 肩関節脱臼で正しいのはどれか。
 1. 後方脱臼の頻度が高い。
 2. 関節強直を起こすことが多い。
 3. 合併症として腋窩神経損傷がある。
 4. 再脱臼を起こすことはまれである。

11-68 外傷と合併する神経麻痺の組合せで最も適切なのはどれか。
 1. 上腕骨骨幹部骨折 … 腋窩神経麻痺
 2. 橈骨遠位端骨折 … 正中神経麻痺
 3. 肩関節前方脱臼 … 尺骨神経麻痺
 4. 股関節後方脱臼 … 大腿神経麻痺

11-69 15歳の肥満男子。軽微な外傷後跛行を主訴として来院した。最も考えられるのはどれか。
 1. ペルテス病
 2. 変形性股関節症
 3. 結核性股関節炎
 4. 大腿骨頭すべり症

11-70 大腿骨頭すべり症で陽性になるのはどれか。
 1. アイヒホッフテスト
 2. ピボットシフトテスト
 3. ドレーマン徴候
 4. ピアノキー徴候

11-71 スポーツ外傷はどれか。
 1. 野球肩
 2. 上腕骨投球骨折
 3. テニス肘
 4. シンスプリント

　次の文について下記２問に答えよ。
「15歳の男子。ラグビー練習中に転倒し左手関節橈背屈を強いられた。直後から手関節痛が強いため医療機関を受診した。」

11-72 本症例でみられにくいのはどれか。
 1. フォーク状変形
 2. タバコ窩の圧痛
 3. 血行障害
 4. フローマン徴候陽性

11-73 実施すべき画像検査で適切でないのはどれか。
 1. 手関節2方向単純エックス線撮影
 2. 手関節斜位単純エックス線撮影
 3. 超音波断層検査
 4. 骨シンチグラフィ

　次の文について下記２問に答えよ。
「14歳の男子。サッカー部に入部してから3か月が経過した。最近腰部を反らすと腰に痛みが出るようになり来院した。」

11-74 予想される診察所見はどれか。
 1. 体前屈で腰痛が増強する。
 2. 体幹回旋で腰痛が増強する。
 3. SLRテストは陽性となる。
 4. FNSテストは陽性となる。

11-75 本症例に特徴的な単純エックス線所見はどれか。
 1. 椎間板腔の狭小化
 2. 腰椎前弯の消失
 3. テリアの首輪
 4. 椎体の変形

11-76 短距離走で肉離れを起こしやすいのはどれか。
 1. 大内転筋
 2. 大腿二頭筋
 3. 中間広筋
 4. 大腰筋

　次の文について、下記2問に答えヨ。
「18歳の女子。バスケットボール中、ジャンプしたときに相手と接触してバランスを崩し、着地時に右下腿外旋、膝関節外反が強制され受傷した。」

11-77 膝関節の診察所見で正しいのはどれか。
 1. 可動域は正常である。
 2. 内反動揺性が認められる。
 3. ラックマンテスト陽性である。
 4. サギングサイン陽性である。

11-78 確定診断に必要な検査はどれか。
 1. CT検査
 2. MRI検査
 3. 超音波検査
 4. エックス線検査

11-79 脛骨跳躍型疲労骨折の好発部位で正しいのはどれか。
 1. 脛骨骨端部
 2. 脛骨上1/3
 3. 脛骨中1/3
 4. 脛骨下1/3

11-80 受傷直後の足関節捻挫に対するRICE処置について最も適切なのはどれか。
 1. ギプス包帯を行う。
 2. 湿布を患部に貼付する。
 3. 損傷靱帯部を圧迫する。
 4. 患肢は頭より高く上げる。

11-81 疾患と炎症部位の組合せで正しいのはどれか。
 1. 上腕二頭筋長頭腱炎 … 大結節
 2. テニス肘 … 上腕骨外側上顆
 3. ドケルバン病 … 背側第二コンパートメント
 4. 長腓骨筋腱鞘炎 … 内果

11-82 外傷とその原因の組合せで正しいのはどれか。
 1. 手舟状骨骨折 … 手関節掌屈
 2. 股関節脱臼 … 車内のダッシュボードへの膝の衝突
 3. 上腕骨顆上骨折 … 上肢の急激な牽引
 4. 第5中足骨基部裂離骨折 … 足部外がえし

11-83 過度の動作と傷害の組合せで正しいのはどれか。
 1. 腰部前屈 … 腰部脊椎分離症
 2. ジャンプ着地 … 膝蓋靱帯炎
 3. ボールキック … 膝前十字靱帯損傷
 4. バットの素振り … 手の舟状骨骨折

12. 皮膚・頭頚部疾患　21問
12-01 接触性皮膚炎について誤っている記述はどれか。
 1. 原因物質の接触部位に湿疹病変が認められる。
 2. 発赤・腫脹が著しい。
 3. 原因物質の除去で急性病変は治癒に向かう。
 4. Ⅰ型アレルギー反応である。

12-02 小児のアトピー性皮膚炎について正しいのはどれか。
 1. 皮膚のバリア機能が亢進している。
 2. 湿疹は四肢大関節の屈側に認めることが多い。
 3. Ⅲ型アレルギーが関与している。
 4. 抗ヒスタミン薬の内服が第一選択である。

12-03 主に皮下結合組織に起こる急性化膿性炎症はどれか。
 1. アトピー性皮膚炎
 2. 脂漏性皮膚炎
 3. じんま疹
 4. 蜂窩織炎

12-04 熱傷についての組合せで正しいのはどれか。
 1. Ⅰ度熱傷 … 水疱形成
 2. Ⅱ度熱傷 … 皮膚全層の凝固壊死
 3. 熱傷面積 … ９の法則
 4. 初期治療 … 軟膏塗布

12-05 熱射病の症状で誤っているのはどれか。
 1. 呼吸促迫
 2. 意識清明
 3. 皮膚乾燥
 4. 体温上昇

12-06 結膜炎について誤っている記述はどれか。
 1. アレルギー性結膜炎ではかゆみが強い。
 2. クラミジア性結膜炎は難治性である。
 3. 細菌性結膜炎は大型濾胞が特徴である。
 4. ウイルス性結膜炎は院内感染が起こりやすい。

12-07 流行性角結膜炎を起こすのはどれか。
 1. 黄色ブドウ球菌
 2. 緑膿菌
 3. アデノウイルス
 4. 帯状疱疹ウイルス

12-08 白内障について正しいのはどれか。
 1. 眼圧の上昇に伴う変化である。
 2. 水晶体の混濁である。
 3. 網膜神経線維の圧迫萎縮である。
 4. 後天性失明の原因で最も多い。

12-09 白内障の原因になりにくいのはどれか。
 1. 紫外線
 2. 可視光線
 3. 赤外線
 4. マイクロ波

12-10 緑内障について正しいのはどれか。
 1. 初期の変化は硝子体に起こる。
 2. 初期から中心視野が障害される。
 3. 視神経は障害されない。
 4. 中高年の失明の原因として最も多い。

　次の文について、下記2問に答えよ。
「55歳の男性。強度近視。夕方デスクワーク中、右眼で黒く動く小さな糸くず状のものが見えた。」

12-11 該当する症状はどれか。
 1. 霧視
 2. 複視
 3. 飛蚊症
 4. 光視症

12-12 次第に症状は悪化し、右眼で下から上へ視野欠損も生じてきた。考えられる疾患はどれか。
 1. 緑内障
 2. 白内障
 3. 網膜剥離
 4. 網膜色素変性症

12-13 メニエール病の症状でないのはどれか。
 1. 耳痛
 2. めまい
 3. 耳鳴り
 4. 難聴

12-14 中耳炎で正しい記述はどれか。
 1. 老人に多い。
 2. 夏に発症が多い。
 3. 肺炎球菌が原因になる。
 4. 慢性化しにくい。

12-15 突発性難聴で正しい記述はどれか。
 1. 流行性耳下腺炎が原因である。
 2. めまいを伴うと予後は悪い。
 3. 同時に両耳に起こることが多い。
 4. 副腎皮質ステロイドの使用は避ける。

12-16 伝音性難聴で正しい記述はどれか。
 1. 老人性の難聴に多い。
 2. コルチ器官の異常で生じる。
 3. 聴神経腫瘍が原因となる。
 4. 補聴器の使用が有用である。

12-17 アレルギー性鼻炎について正しいのはどれか。
 1. 他のアレルギー疾患は随伴しない。
 2. 粘液性の鼻汁がみられる。
 3. 片側性鼻閉が主となる。
 4. 鼻腔内の痒みを認めることが多い。

12-18 アレルギー性鼻炎について正しいのはどれか。
 1. 鼻粘膜のⅡ型アレルギー性疾患である。
 2. 季節性アレルギー性鼻炎の原因で最も多いのはハウスダストである。
 3. IgE抗体が関与している。
 4. アレルゲン免疫療法は即効性がある。

12-19 慢性副鼻腔炎に関して正しい記述はどれか。
 1. ウイルス感染が多い。
 2. 水様性鼻汁が特徴である。
 3. エックス線検査が有用である。
 4. 内視鏡下手術の適応ではない。

12-20 副鼻腔炎が原因となるのはどれか。
 1. 髄膜炎
 2. 神経梅毒
 3. ポリオ
 4. くも膜下出血

12-21 扁桃肥大でみられない症状はどれか。
 1. いびき
 2. 難聴
 3. アデノイド顔貌
 4. 嗄声

13. 精神疾患　16問
13-01 病気でもないのに病気と考えたり、些細な身体の不調を重大な疾患と考え、執拗に訴えるのはどれか。
 1. 強迫神経症
 2. 心気症
 3. 不安神経症
 4. 抑うつ神経症

13-02 強迫神経症に特徴的な症状はどれか。
 1. 外界が生き生きと感じられない。
 2. 何度も戸締まりを確認する。
 3. 一人で電車に乗ることができない。
 4. 物事に集中できない。

13-03 ヒステリーの病前性格として適切でないのはどれか。
 1. 生真面目
 2. 自己中心的
 3. 情緒未熟
 4. 感情易変性

13-04 パニック発作について正しいのはどれか。
 1. 特定の社会状況で発作が起きる。
 2. 発作は数時間続く。
 3. 発作時の呼吸困難には酸素投与を行う。
 4. 治療には認知行動療法が有効である。

13-05 パニック障害の症状はどれか。
 1. 予期不安
 2. 妄想
 3. 幻聴
 4. させられ体験

13-06 させられ体験がみられるのはどれか。
 1. 統合失調症
 2. 単極性障害
 3. 双極性障害
 4. 広汎性発達障害

13-07 うつ病に最も関連の深い神経伝達物質はどれか。
 1. アセチルコリン
 2. セロトニン
 3. ヒスタミン
 4. グルタミン酸

13-08 うつ病の症状として最も適切なのはどれか。
 1. 幻聴
 2. 感情失禁
 3. 予期不安
 4. 興味の喪失

13-09 アルコール依存症の離脱症状として適切でないのはどれか。
 1. 手指振戦
 2. 幻視
 3. 発汗
 4. 四肢のしびれ

13-10 精神障害について正しいのはどれか。
 1. てんかん発作は一時的な意識消失を伴う。
 2. 認知症は知能が生来低下している状態である。
 3. 抑うつは意識レベルの程度を表している。
 4. 適応障害は脳の器質的障害が原因である。

13-11 心身症について正しい記述はどれか。
 1. 身体症状を伴った神経症をいう。
 2. 発症には心理社会的因子が関与する。
 3. 感情を素直に表現する人に発症しやすい。
 4. 身体と心を別々に治療することが重要である。

13-12 心身症に含まれる疾患はどれか。
 1. うつ病
 2. 統合失調症
 3. パニック障害
 4. 過敏性腸症候群

13-13 下剤の乱用が最も高頻度なのはどれか。
 1. 摂食障害
 2. 双極性障害
 3. パニック障害
 4. 夜驚症

13-14 神経性やせ症（神経性食欲不振症）について正しいのはどれか。
 1. 中年に多い。
 2. 栄養吸収障害が原因である。
 3. 電解質異常は起こしにくい。
 4. 心理療法が有効である。

13-15 発達障害で不注意、多動性、衝動性の3つの特徴がみられるのはどれか。
 1. ADHD
 2. PTSD
 3. 発達性協調運動障害
 4. 自閉スペクトラム症

13-16 アスペルガー症候群に伴わないのはどれか。
 1. 知的障害
 2. 反復行動
 3. 特定分野への強いこだわり
 4. 社会的コミュニケーション障害

